date,open,high,low,close,volume,SMA_20,sma_20,SMA_50,sma_50,SMA_200,sma_200,RSI_14,MACD_line,MACD_signal,MACD_hist,RSI_21,signal,positions,RSI_8,RSI_10,RSI_13,RSI_20,RSI_15,RSI_18,RSI_12,RSI_17,RSI_7,RSI_19,RSI_11,RSI_9,RSI_16,ATR_18,atr,position,price_return,strategy_return,equity,pnl,cumulative_pnl,position_size_units,position_size_units_signed,notional_exposure,stop_loss_price,take_profit_price,drawdown_pct,halt_trading,risk_adjusted_signal,strategy_returns,cumulative_returns,drawdown
2020-12-17,128.9,129.58,128.04,128.7,94359811,,,,,,,,0.9016493335112585,0.2890854254359273,0.6125639080753312,,0,0.0,74.81228048672988,73.42861647832021,,,,,72.51217494188884,,75.80339301450927,,72.92795083575402,74.04260104387137,,,,0.0,0.006963461387997638,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-18,128.96,129.1,126.12,126.66,192541500,,,,,,,,0.9745336838136893,0.4261750771114797,0.5483586067022096,,0,0.0,60.01138024537923,60.29379632223174,60.43209198727487,,,,60.40485607453385,,59.71875262574148,,60.361716089486244,60.18600381581108,,,,0.0,-0.015850815850815825,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-21,125.02,128.31,123.45,128.23,121251600,,,,,,,65.04945260629981,1.1457731755456564,0.570094696798315,0.5756784787473413,,0,0.0,65.93846207346843,65.5615910127063,65.15437633269657,,,,65.27298969902995,,66.16497753520065,,65.40777001612695,65.73756531080573,,,,0.0,0.012395389231012022,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-22,131.61,134.41,129.65,131.88,169351825,,,,,,,72.93231507651561,1.558046017494675,0.7676849609375871,0.790361056557088,,0,0.0,75.56232696929303,74.35148145730489,73.20768868449957,,72.69285336967175,,73.52758665446764,,76.40601317522595,,73.90356647540693,74.89363295641265,,,,0.0,0.02846447789128903,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-23,132.16,132.43,130.78,130.96,88223700,,,,,,,68.72482357455776,1.7899059817852816,0.972129165107126,0.8177768166781556,,0,0.0,69.87517197866615,69.39129684984576,68.86195866286606,,68.602661768611,,69.01665831040984,,70.16124332149096,,69.19196192424411,69.61816680957746,68.49330022242586,,,0.0,-0.006976038823172437,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-24,131.32,133.46,131.1,131.97,54930100,,,,,,,70.7217694931465,2.0317346605681195,1.1840502641993247,0.8476843963687948,,0,0.0,72.47444182352876,71.69468556456206,70.91532268935585,,70.55165191743691,,71.13733359027526,70.26680494573257,72.98881057282645,,71.39429180395182,72.04974266391923,70.40103620397703,,,0.0,0.007712278558338337,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-28,133.99,137.34,133.51,136.69,124486237,,,,,,,77.8421035802318,2.574572119323122,1.4621546352240842,1.1124174840990377,,-1,-1.0,81.1575708564009,79.64746490918246,78.19501698887908,,77.5343056571366,76.80978265974119,78.60350224013843,77.02373744040028,82.19027355605094,,79.08141631454104,80.32741759882455,77.26360013518433,3.116111111111112,3.116111111111112,0.0,0.03576570432674098,0.0,100000.0,0.0,0.0,53.43281247304159,-53.43281247304159,-7303.731136940054,141.5199722222222,126.54705833333333,0.0,False,-1,0.0,0.0,0.0
2020-12-29,138.05,138.79,134.34,134.87,121047324,,,,,,,70.70204770273824,2.8253470842243473,1.7347931250241366,1.0905539592002107,,-1,0.0,71.25242037121185,71.0899786082982,70.79329892313599,,70.61664488901702,70.39489399930744,70.8897971687336,70.46334825129117,71.26863511274833,70.33139102785546,70.98990106723596,71.1825390199364,70.53715013955656,3.2255555555555557,3.2255555555555557,-1.0,-0.013314799912210074,0.013314799912210074,100003.04195,687.2540493086562,687.2540493086562,51.61981487449024,-51.61981487449024,-6961.964432122499,139.8696111111111,124.37081666666667,0.0,False,-1,3.041950000004512e-05,3.041950000004512e-05,0.0
2020-12-30,135.58,135.99,133.4,133.72,96452124,127.249,127.249,,,,,66.54834470346097,2.8978876170190517,1.9674120234231198,0.9304755935959319,,-1,0.0,65.48120721223016,66.10362071926747,66.48537391540151,66.69098440707043,66.59418831100629,66.66968189214623,66.39828085575942,66.65204183977951,64.91015579667469,66.6822539692572,66.27650278162734,65.85323805126743,66.62765496363625,3.282222222222222,3.282222222222222,-1.0,-0.008526729443167569,0.008526729443167569,100004.19195000001,445.97399092981505,1133.2280402384713,50.72861292506607,-50.72861292506607,-6783.4301203398345,138.80744444444446,123.03636666666667,0.0,False,-1,1.1499650186541643e-05,4.191950000009825e-05,0.0
2020-12-31,134.08,134.74,131.72,132.69,99116600,127.7295,127.7295,,,,,62.97950720303591,2.839531765310994,2.1418359718006945,0.6976957935102996,63.693305675581854,-1,0.0,60.467906475358724,61.79048112408379,62.77865639305026,63.63342453374412,63.142672614079714,63.4837576845325,62.52741880900375,63.389213142194386,59.37482782079471,63.56426565902697,62.20728542465034,61.23389155221217,63.27709486501846,3.3711111111111114,3.3711111111111114,-1.0,-0.00770266227938976,0.00770266227938976,100005.22195,406.3079485600174,1539.5359887984887,49.391009420120355,-49.391009420120355,-6553.69303995577,137.9152222222222,121.71703333333333,0.0,False,-1,1.0299568247162938e-05,5.221950000011688e-05,0.0
